name_en,name_ru,price,time,category_id
Margherita,Маргарита,10.50,CURRENT_TIMESTAMP,1
Pepperoni,Пепперони,11.00,CURRENT_TIMESTAMP,1
Quattro Formaggi,Четыре сыра,12.50,CURRENT_TIMESTAMP,1
Hawaiian,Гавайская,11.50,CURRENT_TIMESTAMP,1
Vegetarian,Вегетарианская,10.00,CURRENT_TIMESTAMP,1
Margarita with vegetables,Маргарита с овощами,11.00,CURRENT_TIMESTAMP,1
Capricciosa,Капричоза,11.50,CURRENT_TIMESTAMP,1
Seafood Delight,Морское удовольствие,13.00,CURRENT_TIMESTAMP,1
Spinach and Feta,Шпинат и Фета,10.50,CURRENT_TIMESTAMP,1
Fried mozzarella sticks,Жареные палочки из моцареллы,6.50,CURRENT_TIMESTAMP,2
Garlic bread,Чесночный хлеб,5.00,CURRENT_TIMESTAMP,2
Bruschetta,Брускетта,7.00,CURRENT_TIMESTAMP,2
Stuffed mushrooms,Фаршированные грибы,8.00,CURRENT_TIMESTAMP,2
Onion Rings,Кольца лука,6.50,CURRENT_TIMESTAMP,2
Mozzarella Caprese,Моцарелла Капрезе,7.00,CURRENT_TIMESTAMP,2
Loaded Nachos,Начос с начинкой,8.50,CURRENT_TIMESTAMP,2
Bacon-wrapped Shrimp,Креветки в беконе,9.00,CURRENT_TIMESTAMP,2
Caprese salad,Салат Капрезе,9.50,CURRENT_TIMESTAMP,3
Greek salad,Греческий салат,9.00,CURRENT_TIMESTAMP,3
Caesar salad,Салат Цезарь,8.50,CURRENT_TIMESTAMP,3
Spinach and Strawberry Salad,Салат со шпинатом и клубникой,8.50,CURRENT_TIMESTAMP,3
Mediterranean Quinoa Salad,Салат с киноа по-средиземноморски,8.50,CURRENT_TIMESTAMP,3
Tiramisu,Тирамису,7.50,CURRENT_TIMESTAMP,4
Cheesecake,Чизкейк,8.00,CURRENT_TIMESTAMP,4
Chocolate fondant,Шоколадный фондан,9.00,CURRENT_TIMESTAMP,4
Apple Pie,Яблочный пирог,6.00,CURRENT_TIMESTAMP,4
Strawberry Shortcake,Клубничный торт,8.50,CURRENT_TIMESTAMP,4
Lemon Tart,Лимонный тарт,7.50,CURRENT_TIMESTAMP,4
Espresso, Эспрессо,1.50,CURRENT_TIMESTAMP,5
Latte, Латте,2.50,CURRENT_TIMESTAMP,5
Cappuccino, Капучино,2.50,CURRENT_TIMESTAMP,5
Americano, Американо,2.50,CURRENT_TIMESTAMP,5
Mocha, Мокко,3.00,CURRENT_TIMESTAMP,5
Flat White, Флэт Уайт,2.50,CURRENT_TIMESTAMP,5
Coca-Cola,Кока-Кола,2.00,CURRENT_TIMESTAMP,6
Pepsi,Пепси,2.00,CURRENT_TIMESTAMP,6
Sprite,Спрайт,2.00,CURRENT_TIMESTAMP,6
Fanta,Фанта,2.00,CURRENT_TIMESTAMP,6
Lemonade,Лимонад,2.00,CURRENT_TIMESTAMP,6
Iced Tea,Холодный чай,2.50,CURRENT_TIMESTAMP,6
Red wine,Красное вино,12.50,CURRENT_TIMESTAMP,7
White wine,Белое вино,11.50,CURRENT_TIMESTAMP,7
Beer,Пиво,3.50,CURRENT_TIMESTAMP,7
Whiskey,Виски,10.50,CURRENT_TIMESTAMP,7
Vodka,Водка,9.50,CURRENT_TIMESTAMP,7
Tequila,Текила,11.00,CURRENT_TIMESTAMP,7
